Timestamp,Are taking this as a pre-training or post-training survey?,1.  I have provided end of life care to a dying person.   ,2. I have been in a combat situation.,3. I have worked with a cadaver before.,4. How many years have you been serving as a Chaplain or a Religious Affairs Specialist (civilian experience included)?   ,1.1 Do you feel prepared to provide end of life care to this dying Soldier?,"1.2 When SPC Smith asks you if he is going to die, will you tell him yes?",1.3 Do you feel prepared to handle more than 10 situations like SPC Smith’s each day over a sustained period?,1.4 Are you the same faith group as SPC Smith Smith (Christian)?,"1.5 Do you feel comfortable providing end-of-life care, such as offering prayer or performing last rites for someone outside your faith?",2.1 Do you feel ready to provide end-of-life care to this dying SM?,"2.2 In his dying moments, SGT Tanner asks you if his team leader is okay. You know his team leader is dead, will you tell him?",2.3 Do you feel prepared to handle more than 10 situations like SGT Tanner’s each day over a sustained period?,2.4 Are you the same faith group as SGT Tanner (Norse Pagan)?,"2.5 Do you feel comfortable providing end-of-life care, such as offering prayer or performing last rites for someone outside your faith?",3.1 Do you feel ready to provide end-of-life care to a non-U.S. SM?,"3.2 As the SM dies, the medic asks you to pray over the foreign SM. Will you pray over this foreign SM as requested?",3.3 Do you feel prepared to handle more than 10 situations like this daily over a long period?,3.4 Are you the same faith group as the non-U.S. SM (Christian)?,"3.5 Do you feel comfortable providing end-of-life care, such as offering prayer or performing last rites for someone outside your faith?",5. What is your MOS? ,4.1 Do you feel prepared to provide end-of-life care to this dying SM as a Religious Affairs Specialist?,"4.2 As CPT Mohamed dies, he asks you to pray over him. Do you feel comfortable praying for a Muslim SM per his request?",4.3 Do you feel ready to handle more than 10 situations like this daily for an extended period?,4.4 Are you the same faith group as CPT Mohamed (Muslim believer)? ,"4.5 Do you feel comfortable providing end-of-life care, such as offering prayer or performing last rites for someone outside your faith?"
17-Apr-25,Post-training survey,Yes,Yes,Yes,,1,,1,Y,2,,,,,,,,,,,,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,7,2,,1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,No,No,Yes,1,1,,1,Y,0,,,,,,,,,,,56M,,,,,
17-Apr-25,Post-training survey,No,No,Yes,1,1,,0,N,1,,,,,,,,,,,56M,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,1,1,,1,N,1,,,,,,,,,,,56M,,,,,
17-Apr-25,Post-training survey,Yes,Yes,Yes,17,2,,1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,1,1,,1,Y,1,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,No,Yes,Yes,4,2,,-1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,Yes,Yes,18,2,,0,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,Yes,Yes,10,2,,1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,No,No,Yes,4,1,,2,Y,N/A,,,,,,,,,,,56M,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,4,1,,1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,1,0,,0,N,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,No,No,Yes,5,2,,1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,1,0,,-2,Y,N/A,,,,,,,,,,,56M,,,,,
17-Apr-25,Post-training survey,No,No,Yes,5,2,,1,Y,N/A,,,,,,,,,,,56M,,,,,
17-Apr-25,Post-training survey,Yes,Yes,Yes,16,1,,-1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,14,1,,0,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,,1,,0,N,1,,,,,,,,,,,,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,9,2,,1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,No,No,4.5,0,,0,N,0,,,,,,,,,,,56M,,,,,
17-Apr-25,Post-training survey,No,Yes,No,,-1,,-2,N,1,,,,,,,,,,,56M,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,,2,,2,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,,1,,1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Post-training survey,No,No,No,,2,,-1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,No,Yes,No,,1,,1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,7,1,,1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,9,1,,1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,5,2,,2,Y,N/A,,,,,,,,,,,56M,,,,,
17-Apr-25,Post-training survey,Yes,Yes,Yes,15,1,,1,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,6,1,,2,Y,N/A,,,,,,,,,,,56A,,,,,
17-Apr-25,Post-training survey,Yes,No,Yes,4,1,,1,Y,N/A,,,,,,,,,,,56M,,,,,
17-Apr-25,Pre-training survey,No,No,Yes,,1,,1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,Yes,No,,2,,2,N,2,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,No,Yes,,2,,2,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,Yes,,3,,0,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,No,Yes,,1,,-2,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,Yes,Yes,,0,,-1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,Yes,No,,1,,1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,Yes,Yes,,1,,0,N,2,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,0,,-1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,0,,-1,N,1,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,No,Yes,,1,,0,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,2,,2,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,2,,3,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,No,No,,0,,-1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,Yes,Yes,,1,,0,N,2,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,No,Yes,,1,,1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,No,Yes,,1,,0,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,Yes,Yes,,2,,1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,No,Yes,,0,,1,N,1,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,Yes,Yes,,-1,,-2,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,Yes,,1,,0,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,Yes,Yes,,2,,-1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,Yes,,0,,-1,N,0,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,Yes,,-1,,0,N,1,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,2,,1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,Yes,Yes,,2,,-1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,Yes,,1,,1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,No,Yes,,2,,1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,1,,0,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,No,Yes,,1,,0,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,-2,,0,N,2,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,2,,1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,No,No,,0,,1,N,1,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,1,,-1,N,0,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,0,,-1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,Yes,,2,,0,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,Yes,No,,1,,0,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,Yes,No,,-1,,-1,N,2,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,2,,0,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,No,Yes,,2,,2,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,Yes,Yes,,-1,,1,N,2,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,1,,0,N,2,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,Yes,Yes,,1,,1,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,Yes,,1,,0,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,Yes,No,,1,,-2,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,Yes,Yes,,2,,2,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,1,,1,N,2,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,Yes,No,No,,2,,2,Y,N/A,,,,,,,,,,,,,,,,
17-Apr-25,Pre-training survey,No,No,No,,1,,1,N,2,,,,,,,,,,,,,,,,
5/29/2025,Post-training survey,Yes,Yes,Yes,1,2,0,2,Yes,,2,0,2,No,2,2,2,2,Yes,,56A,,,,,
5/29/2025,Post-training survey,No,Yes,No,17,1,0,1,Yes,,1,-1,1,No,-1,1,1,1,Yes,,56A,,,,,
5/29/2025,Post-training survey,Yes,Yes,No,7,1,0,1,Yes,,1,-1,1,No,0,1,2,1,Yes,,56A,,,,,
5/29/2025,Post-training survey,Yes,Yes,Yes,8,2,-2,1,Yes,,2,-2,1,No,2,1,1,1,Yes,,56A,,,,,
5/29/2025,Post-training survey,No,Yes,Yes,1,1,0,1,Yes,,1,0,0,No,0,2,1,2,Yes,,56A,,,,,
5/29/2025,Post-training survey,No,No,Yes,4,2,-2,0,Yes,,2,-2,0,No,2,2,0,0,Yes,,56M,1,-2,0,No,0
5/29/2025,Post-training survey,Yes,No,No,2,1,-2,1,Yes,,0,-1,0,No,0,0,0,0,Yes,,56M,0,-1,0,No,0
5/29/2025,Post-training survey,Yes,No,Yes,12,2,0,1,Yes,,2,-2,1,No,-2,2,2,2,Yes,,56A,,,,,
5/29/2025,Post-training survey,Yes,Yes,Yes,1,2,0,1,No,1,2,0,1,No,1,1,2,1,Yes,,56A,,,,,
5/29/2025,Post-training survey,Yes,Yes,No,1,2,-1,1,Yes,,1,0,1,No,1,1,1,1,Yes,,56M,1,0,1,No,0
5/29/2025,Post-training survey,No,No,No,1,0,1,0,Yes,,0,-1,0,No,1,1,1,0,Yes,,56M,1,1,1,No,0
5/29/2025,Post-training survey,No,No,No,4,1,0,1,Yes,,1,0,2,No,2,2,2,2,Yes,,56M,2,2,2,No,2
5/29/2025,Post-training survey,No,No,Yes,1.5,1,-2,1,Yes,,1,-1,1,No,1,1,2,0,Yes,,56A,,,,,
5/29/2025,Post-training survey,Yes,Yes,Yes,5,2,2,2,No,2,2,2,2,No,2,2,2,2,Yes,,56A,,,,,
5/29/2025,Post-training survey,Yes,No,Yes,1,1,-2,0,Yes,,1,-2,0,No,0,2,2,0,Yes,,56A,,,,,
5/29/2025,Post-training survey,Yes,No,Yes,0,2,0,2,No,2,2,-1,0,No,2,0,1,1,No,0,56M,1,1,0,No,1
5/29/2025,Post-training survey,Yes,No,Yes,2,2,1,1,Yes,,1,-1,1,No,1,1,1,1,Yes,,56A,,,,,
5/29/2025,Post-training survey,Yes,Yes,No,4,1,1,1,Yes,,0,1,0,No,-1,1,1,1,Yes,,56A,,,,,
5/29/2025,Post-training survey,No,No,Yes,1,2,-2,2,No,0,2,0,2,No,0,2,2,2,Yes,,56M,2,1,2,No,0
5/29/2025,Post-training survey,Yes,Yes,Yes,8,2,-2,1,Yes,,2,1,1,No,1,1,2,1,Yes,,56A,,,,,
5/29/2025,Post-training survey,Yes,Yes,Yes,18,1,1,2,Yes,,1,1,2,No,1,1,1,2,Yes,,56A,,,,,
5/29/2025,Post-training survey,Yes,No,Yes,8,1,-2,2,Yes,,1,-2,2,No,1,1,1,2,Yes,,56A,,,,,
5/29/2025,Post-training survey,Yes,No,Yes,3,1,-1,2,No,1,0,-2,2,No,0,1,1,2,No,1,56M,1,1,0,No,0
5/29/2025,Post-training survey,Yes,No,Yes,6,1,-1,2,No,0,1,-1,2,No,1,1,1,1,No,2,56M,1,0,0,No,0
5/29/2025,Post-training survey,No,No,Yes,6,1,-1,2,Yes,,1,-1,2,No,1,1,1,2,Yes,,56A,,,,,
5/29/2025,Post-training survey,Yes,No,No,7,1,0,1,Yes,,1,-1,1,No,1,1,1,1,Yes,,56M,1,1,1,No,1
5/29/2025,Post-training survey,Yes,Yes,Yes,17,1,1,1,Yes,,1,1,1,No,1,1,1,1,No,1,56A,,,,,
5/29/2025,Post-training survey,No,No,Yes,3,1,-1,0,No,1,1,0,0,No,0,1,0,0,No,0,56M,0,0,0,No,0
5/29/2025,Post-training survey,No,No,No,8,1,1,1,No,1,1,1,1,No,1,1,1,1,No,1,56M,1,1,1,No,1
5/29/2025,Post-training survey,Yes,No,Yes,6,1,1,2,Yes,,1,1,2,No,1,1,1,2,Yes,,56A,,,,,
5/29/2025,Post-training survey,No,No,No,3,1,1,1,No,0,1,1,1,Yes,,1,1,1,No,0,56M,1,1,1,No,1
5/29/2025,Pre-training survey,Yes,Yes,Yes,1,0,-1,1,Yes,,-2,1,0,No,-1,-2,1,-2,Yes,1,56A,-1,1,-1,No,
5/29/2025,Pre-training survey,No,Yes,No,15,2,1,1,Yes,,2,1,1,No,2,1,2,1,Yes,1,56M,2,1,1,No,
5/29/2025,Pre-training survey,No,Yes,Yes,4,1,-1,0,No,,1,1,2,No,-2,2,2,1,Yes,2,56M,0,1,0,No,
5/29/2025,Pre-training survey,Yes,No,No,15,2,-2,0,Yes,,2,-2,0,No,1,2,2,0,Yes,,56A,2,2,,No,
5/29/2025,Pre-training survey,No,No,No,6,2,0,1,No,,2,2,2,No,2,2,2,2,Yes,2,56M,2,2,2,No,
5/29/2025,Pre-training survey,No,No,No,7,0,-2,0,Yes,,0,0,1,No,1,1,0,0,Yes,0,56M,1,1,0,No,
5/29/2025,Pre-training survey,No,No,No,15,2,-2,-1,Yes,,2,-1,-1,No,1,2,2,-1,Yes,0,56M,0,0,0,No,
5/29/2025,Pre-training survey,No,Yes,Yes,1,1,0,0,Yes,,1,0,0,No,2,2,2,0,Yes,1,56M,2,2,0,No,
5/29/2025,Pre-training survey,No,Yes,No,6,-2,1,1,No,,1,2,-2,No,2,2,2,-2,Yes,2,56M,-2,2,-2,No,
5/29/2025,Pre-training survey,Yes,No,No,1,0,-2,0,Yes,,0,-2,0,No,1,0,1,0,Yes,,56A,0,1,0,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,1,1,-1,-1,Yes,,1,-1,0,No,0,1,1,1,Yes,,56A,-1,1,-1,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,4,0,-1,-1,No,,0,0,-2,No,1,0,0,-2,Yes,0,56A,0,0,-2,No,
5/29/2025,Pre-training survey,Yes,Yes,No,7,0,1,-2,Yes,,1,0,-2,No,0,1,2,-1,Yes,1,56M,1,1,-1,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,1,1,-1,1,No,,1,1,1,No,2,1,1,1,Yes,1,56A,1,1,1,No,
5/29/2025,Pre-training survey,No,Yes,Yes,1,2,0,0,No,,2,0,1,No,1,1,1,1,No,0,56M,1,1,1,No,
5/29/2025,Pre-training survey,No,Yes,Yes,15,1,-2,-1,Yes,,-1,-1,-1,No,1,1,2,1,Yes,0,56M,0,2,1,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,4,0,0,-2,No,,0,0,-2,No,2,0,0,-2,No,2,56A,0,2,-2,No,
5/29/2025,Pre-training survey,No,No,No,15,2,1,1,Yes,,1,1,1,No,2,2,2,1,Yes,,56M,1,1,2,No,
5/29/2025,Pre-training survey,No,Yes,Yes,15,2,1,0,Yes,,2,2,1,No,2,2,1,1,Yes,2,56M,2,2,1,No,
5/29/2025,Pre-training survey,No,Yes,Yes,15,1,0,-1,Yes,,1,0,-1,No,2,1,1,-1,Yes,2,56M,1,1,-1,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,1,1,1,0,Yes,,-1,1,-1,No,0,-1,0,1,Yes,-1,56A,-1,-1,-1,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,4,-1,-2,-2,No,,0,-2,-2,No,-1,0,1,-2,No,-1,56A,-1,1,-2,No,
5/29/2025,Pre-training survey,No,Yes,Yes,15,1,-1,-1,Yes,,1,0,-1,No,-2,0,-1,-1,No,-1,56M,0,-1,-1,No,
5/29/2025,Pre-training survey,No,Yes,No,6,1,0,0,Yes,,1,1,1,No,1,0,1,1,Yes,1,56M,0,0,0,No,
5/29/2025,Pre-training survey,Yes,Yes,No,6,2,1,0,Yes,,1,1,0,No,-1,2,2,1,Yes,2,56A,1,-1,0,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,1,0,-1,0,No,,1,-2,0,No,2,0,-2,0,No,1,56A,0,1,0,No,
5/29/2025,Pre-training survey,No,Yes,Yes,1,2,0,1,Yes,,1,0,1,No,2,2,1,1,No,2,56A,2,2,2,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,1,1,-1,1,Yes,,1,-1,1,No,1,1,2,1,Yes,1,56A,1,1,1,No,
5/29/2025,Pre-training survey,No,No,No,4,1,0,-1,No,,1,0,-1,No,0,1,1,0,Yes,1,56M,0,0,0,No,
5/29/2025,Pre-training survey,No,Yes,No,15,1,-1,0,Yes,,1,0,0,No,1,1,2,0,Yes,1,56M,1,1,1,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,1,2,-2,-2,Yes,,0,0,0,No,2,2,2,0,Yes,,56A,0,0,0,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,1,1,0,1,Yes,,1,-1,1,No,1,1,2,1,Yes,0,56A,1,1,1,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,6,1,0,0,Yes,,1,1,-1,No,1,0,1,-1,Yes,1,56A,1,1,1,No,
5/29/2025,Pre-training survey,No,No,Yes,6,1,-1,-1,No,,1,2,-1,No,2,2,2,-1,Yes,1,56A,1,1,-1,No,
5/29/2025,Pre-training survey,No,Yes,No,1,1,1,0,Yes,,1,1,0,No,0,1,1,0,Yes,,56M,1,2,0,No,
5/29/2025,Pre-training survey,No,Yes,Yes,1,1,0,1,Yes,,1,0,1,No,0,1,1,1,Yes,,,1,1,1,No,
5/29/2025,Pre-training survey,Yes,Yes,No,1,0,-2,0,No,,0,-1,1,No,2,2,0,0,No,2,56A,1,0,0,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,1,1,-1,-1,No,,1,-2,0,No,2,2,2,0,No,2,56A,1,2,2,No,
5/29/2025,Pre-training survey,No,Yes,No,7,1,0,0,Yes,,1,1,1,No,-2,1,1,0,Yes,,56M,0,0,0,No,
5/29/2025,Pre-training survey,Yes,Yes,No,1,2,-1,0,No,,2,1,0,No,1,2,2,1,Yes,0,56A,2,2,0,No,
5/29/2025,Pre-training survey,No,Yes,No,4,2,2,1,No,,2,2,1,No,-2,2,2,1,Yes,0,56M,0,0,0,No,
5/29/2025,Pre-training survey,No,Yes,No,7,1,0,0,No,,1,1,0,No,2,1,0,0,Yes,2,56M,1,2,0,No,
5/29/2025,Pre-training survey,Yes,Yes,No,7,2,1,1,Yes,,1,-2,1,No,-1,2,0,-1,Yes,-1,56M,0,0,0,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,4,0,1,0,Yes,,0,-1,0,No,1,1,1,1,Yes,,56A,1,1,1,No,
5/29/2025,Pre-training survey,Yes,Yes,Yes,1,1,-1,1,No,,1,-1,1,No,2,1,2,1,Yes,2,56A,2,2,2,No,
5/29/2025,Pre-training survey,No,No,Yes,7,1,1,0,Yes,,2,0,0,No,0,1,1,1,No,0,56M,1,1,0,No,
5/29/2025,Pre-training survey,No,No,No,15,2,0,1,No,,2,0,1,No,2,2,2,0,No,1,56M,2,2,2,No,
6/9/2025,Post-training survey,No,No,No,1,0,1,0,Yes,,0,-1,0,No,1,1,1,0,Yes,,56M,1,1,1,No,0
6/9/2025,Post-training survey,No,No,No,4,1,0,1,Yes,,1,0,2,No,2,2,2,2,Yes,,56M,2,2,2,No,2
6/9/2025,Post-training survey,No,No,Yes,1.5,1,-2,1,Yes,,1,-1,1,No,1,1,2,0,Yes,,56A,,,,,
6/9/2025,Post-training survey,Yes,Yes,Yes,5,2,2,2,No,2,2,2,2,No,2,2,2,2,Yes,,56A,,,,,
6/9/2025,Post-training survey,Yes,No,Yes,1,1,-2,0,Yes,,1,-2,0,No,0,2,2,0,Yes,,56A,,,,,
6/9/2025,Post-training survey,Yes,No,Yes,0,2,0,2,No,2,2,-1,0,No,2,0,1,1,No,0,56M,1,1,0,No,1
6/9/2025,Post-training survey,Yes,No,Yes,2,2,1,1,Yes,,1,-1,1,No,1,1,1,1,Yes,,56A,,,,,
6/9/2025,Post-training survey,Yes,Yes,No,4,1,1,1,Yes,,0,1,0,No,-1,1,1,1,Yes,,56A,,,,,
6/9/2025,Post-training survey,No,No,Yes,1,2,-2,2,No,0,2,0,2,No,0,2,2,2,Yes,,56M,2,1,2,No,0
6/9/2025,Post-training survey,Yes,Yes,Yes,8,2,-2,1,Yes,,2,1,1,No,1,1,2,1,Yes,,56A,,,,,
6/10/2025,Post-training survey,Yes,Yes,Yes,18,1,1,2,Yes,,1,1,2,No,1,1,1,2,Yes,,56A,,,,,
6/10/2025,Post-training survey,Yes,No,Yes,8,1,-2,2,Yes,,1,-2,2,No,1,1,1,2,Yes,,56A,,,,,
6/10/2025,Post-training survey,Yes,No,Yes,3,1,-1,2,No,1,0,-2,2,No,0,1,1,2,No,1,56M,1,1,0,No,0
6/10/2025,Post-training survey,Yes,No,Yes,6,1,-1,2,No,0,1,-1,2,No,1,1,1,1,No,2,56M,1,0,0,No,0
6/11/2025,Post-training survey,No,No,Yes,6,1,-1,2,Yes,,1,-1,2,No,1,1,1,2,Yes,,56A,,,,,
6/14/2025,Post-training survey,Yes,No,No,7,1,0,1,Yes,,1,-1,1,No,1,1,1,1,Yes,,56M,1,1,1,No,1
6/15/2025,Post-training survey,Yes,Yes,Yes,17,1,1,1,Yes,,1,1,1,No,1,1,1,1,No,1,56A,,,,,
6/18/2025,Post-training survey,No,No,Yes,3,1,-1,0,No,1,1,0,0,No,0,1,0,0,No,0,56M,0,0,0,No,0
6/20/2025,Post-training survey,No,No,No,8,1,1,1,No,1,1,1,1,No,1,1,1,1,No,1,56M,1,1,1,No,1
6/22/2025,Post-training survey,Yes,No,Yes,6,1,1,2,Yes,,1,1,2,No,1,1,1,2,Yes,,56A,,,,,
6/23/2025,Post-training survey,No,No,No,3,1,1,1,No,0,1,1,1,Yes,,1,1,1,No,0,56M,1,1,1,No,1
